"task","model","weight_wall","day","run","latency","wall_zone","target_quadrant"
"fixed","place",NA,1,1,45.7810718722602,28.045638152185,11.4457591798165
"fixed","place",NA,2,1,33.2070621020079,19.3800881953867,20.4368579182012
"fixed","place",NA,3,1,28.7171366318026,9.66601862519201,34.2600926459293
"fixed","place",NA,4,1,48.714947766439,12.0023837081129,43.1216314803212
"fixed","place",NA,5,1,46.0234621242836,10.2253472682844,26.583914953443
"fixed","place",NA,6,1,46.5087055206122,14.3662513854822,13.5519669173515
"fixed","place",NA,7,1,54.1929223258242,12.382296475862,26.47658926838
"fixed","place",NA,8,1,54.863472099513,12.2017701002193,24.0209767796483
"fixed","place",NA,1,2,34.4823717890986,25.5738824829229,23.0514441721294
"fixed","place",NA,2,2,13.3530700149446,10.7544246218234,39.7411094790437
"fixed","place",NA,3,2,14.223985232329,8.22841726618705,59.8502612383777
"fixed","place",NA,4,2,14.5020694495672,9.87563329839273,37.0384720974344
"fixed","place",NA,5,2,15.5556675388913,12.0758769741975,37.7229208193732
"fixed","place",NA,6,2,11.7126300498996,7.15030227225349,19.3283004258614
"fixed","place",NA,7,2,23.0708974512541,21.846456454639,31.6718519520621
"fixed","place",NA,8,2,29.7624305468013,18.6051661117082,47.2975529296304
"fixed","place",NA,1,3,33.910953666377,21.4287112529888,16.0650165466186
"fixed","place",NA,2,3,17.3276490096756,14.6971261923568,32.4943968514356
"fixed","place",NA,3,3,24.0084558959233,24.3470115318855,34.7895835450168
"fixed","place",NA,4,3,12.7972119297513,18.6337928596677,37.8636831562824
"fixed","place",NA,5,3,13.4517520334854,5.2457264957265,43.5806968569065
"fixed","place",NA,6,3,12.2979631109147,6.52351520318272,32.6806265984655
"fixed","place",NA,7,3,13.3464723339905,15.8709355301754,46.2039984189394
"fixed","place",NA,8,3,14.8648973934309,6.33441091954023,62.5155651340996
"fixed","place",NA,1,4,51.121105479147,18.3655629079953,14.2325570564116
"fixed","place",NA,2,4,47.1113343534088,19.2323170375346,13.7086785823861
"fixed","place",NA,3,4,49.2007096157115,20.3600758515327,21.8399816537663
"fixed","place",NA,4,4,50.6269386943323,13.6771945244442,25.9521168935021
"fixed","place",NA,5,4,15.4713668394861,9.90633753501401,27.0831094065533
"fixed","place",NA,6,4,35.8009540464699,2.22095671981777,58.1220668762152
"fixed","place",NA,7,4,30.1510425724284,17.4140467420707,43.4087639078911
"fixed","place",NA,8,4,12.5694144654613,19.1626344086022,34.3076036866359
"fixed","place",NA,1,5,39.6899510902279,18.2189814635365,28.6997644616561
"fixed","place",NA,2,5,47.4559053700192,15.9168685930723,17.060921424974
"fixed","place",NA,3,5,27.7768281771453,33.4553305446286,29.8548674611353
"fixed","place",NA,4,5,50.4437914503202,11.9354568765427,53.2909533590384
"fixed","place",NA,5,5,37.4936337144277,19.5431316322232,31.4071337226394
"fixed","place",NA,6,5,45.7541505345853,12.7565931704957,41.0431284616422
"fixed","place",NA,7,5,32.116171975751,8.6250814626827,40.1111165067676
"fixed","place",NA,8,5,12.6464261071396,1.94444444444444,31.752972765631
"fixed","place",NA,1,6,50.6072011378718,21.2747533285256,9.64525329313147
"fixed","place",NA,2,6,14.3334361191566,18.3878932408344,42.2316668272551
"fixed","place",NA,3,6,23.9710676924652,12.4566537280807,41.1763565424241
"fixed","place",NA,4,6,16.4514309069712,7.65959526835468,51.0301979715207
"fixed","place",NA,5,6,28.1719770672042,18.1300546217866,32.2405524610903
"fixed","place",NA,6,6,23.2714874537037,2.76203966005666,53.1642797188123
"fixed","place",NA,7,6,27.0824017121162,6.32806121258777,62.3187432241462
"fixed","place",NA,8,6,15.914605833174,23.6211122379986,33.3903820148749
"fixed","place",NA,1,7,47.1113807784066,32.9179964454297,7.65675463909645
"fixed","place",NA,2,7,38.1173383672083,6.53480229911236,21.1047510410666
"fixed","place",NA,3,7,56.036023506426,10.9890512183553,24.7803015493104
"fixed","place",NA,4,7,53.2721399871193,12.548197529315,31.5859564956002
"fixed","place",NA,5,7,47.3192183497738,26.0870691110016,16.750608592319
"fixed","place",NA,6,7,47.3693041498925,15.7444846342469,17.9792963041559
"fixed","place",NA,7,7,35.3624446399643,10.0443420155683,39.811591402506
"fixed","place",NA,8,7,36.9332360871102,20.7391224625523,42.5575486408925
"fixed","place",NA,1,8,49.0702691187996,22.6916751966002,14.4848531797098
"fixed","place",NA,2,8,23.4518865615594,20.3961166066622,28.8365949817656
"fixed","place",NA,3,8,20.3082394274344,6.41368041469461,52.3640810707332
"fixed","place",NA,4,8,24.9173307757459,12.213909082866,38.5927222738266
"fixed","place",NA,5,8,10.3558565089676,3.2442748091603,44.2153762268266
"fixed","place",NA,6,8,32.8786106441566,1.36077400347297,52.8780972846442
"fixed","place",NA,7,8,13.7711125671325,7.9601334738321,32.550730531985
"fixed","place",NA,8,8,20.6917815194658,1.05846774193548,60.3929733698607
"fixed","place",NA,1,9,31.289130209478,22.3958716721875,17.2755753018911
"fixed","place",NA,2,9,20.7235938811272,16.7138066533228,49.7758741407935
"fixed","place",NA,3,9,28.8816217171739,26.7742325356539,33.5520908871163
"fixed","place",NA,4,9,22.6229444304901,21.5369437620162,38.5190990001468
"fixed","place",NA,5,9,32.9186624287038,6.48780536561526,56.7770703052168
"fixed","place",NA,6,9,33.5839148185841,12.1394654486185,53.0812275583842
"fixed","place",NA,7,9,30.933332989312,11.9834638565197,18.8694399000516
"fixed","place",NA,8,9,37.1892717806831,14.5209751551265,21.6319104672159
"fixed","place",NA,1,10,43.1332777140093,24.078441125471,27.2251500235035
"fixed","place",NA,2,10,17.4663293348166,13.510226332807,44.3997042384139
"fixed","place",NA,3,10,17.0930671983689,10.8730030473728,57.1902991966017
"fixed","place",NA,4,10,21.8950984829221,19.3650761237039,16.1622586092213
"fixed","place",NA,5,10,10.6573229150787,18.5265700483092,37.830595071128
